"Date","Airtemp_min","Airtemp_avg","Airtemp_max","Dewpoint_min","Soiltemp_avg","Soiltemp_max","Soiltemp_min","Snow_height","Precipitation","Cloud_O","Cloud_H","Windspeedavg_ms","Windspeedmax_ms","atmopressure_gPa","SaturationDeficit_Avg_gPa","SaturationDeficit_Max_gPa","Humidityavg_%","Humiditymin_%","Partialpressure_avg_gPa","Partialpressure_max_gPa"
"2011-01-22","-25","-22","-18","-27.6","-22","-18","-25","31","0","5","4","3.9","5","1026.2","0.25","0.31","76","73","0.25","0.31"
"2011-01-23","-31","-26","-21","-32.1","-26","-21","-31","30","0","3","7","2.5","5","1025","0.18","0.24","77","74","0.18","0.24"
"2011-01-24","-34","-31","-24","-38.0","-31","-24","-34","30","0","7","7","0.1","1","1027.4","0.12","0.21","75","70","0.12","0.21"
"2011-01-25","-31","-23","-14","-34.9","-23","-14","-31","30","0","4","7","1.6","3","1027.5","0.29","0.53","74","70","0.29","0.53"
"2011-01-26","-18","-11","-8","-20","-11","-8","-18","30","0","2","4","3.8","6","1019.9","1","1.31","62","55","1","1.31"
"2011-01-27","-18","-14","-10","-19.6","-14","-10","-18","29","0","6","1","1.6","2","1017.1","1.1","1.69","59","48","1.1","1.69"
"2011-01-28","-20","-14","-7","-19.3","-14","-7","-20","29","0","4","1","2","3","1004.5","1.1","1.30","58","53","1.1","1.30"
"2011-01-29","-19","-13","-8","-17.9","-13","-8","-19","29","1.6","4","4","1","2","997.9","0.33","0.52","85","79","0.33","0.52"
"2011-01-30","-20","-16","-11","-20.5","-16","-11","-20","30","0","6","4","2.4","3","993","0.30","0.45","83","78","0.30","0.45"
"2011-01-31","-16","-10","-7","-15.1","-10","-7","-16","30","0","2","1","4.1","6","997.7","0.51","0.64","84","80","0.51","0.64"
"2011-02-01","-17","-11","-6","-13.5","-11","-6","-17","28","0.2","3","5","2.4","3","1000.9","0.49","0.83","86","79","0.49","0.83"
"2011-02-02","-27","-19","-13","-25.3","-19","-13","-27","28","0","4","4","1.3","3","1005.6","0.19","0.24","86","84","0.19","0.24"
"2011-02-03","-16","-11","-8","-15.7","-11","-8","-16","31","1.9","2","2","2.4","4","996.7","0.38","0.57","84","77","0.38","0.57"
"2011-02-04","-18","-14","-11","-18.7","-14","-11","-18","30","0","3","3","2.4","4","1004.3","0.46","0.59","79","74","0.46","0.59"
"2011-02-05","-24","-19","-15","-22","-19","-15","-24","30","0","4","4","1.3","2","999.4","0.36","0.58","77","66","0.36","0.58"
"2011-02-06","-24","-14","-7","-23.1","-14","-7","-24","30","0.6","6","6","1.9","3","1000.4","0.47","0.82","78","72","0.47","0.82"
"2011-02-07","-18","-13","-8","-21.3","-13","-8","-18","29","0.3","2","3","4","6","997.6","0.45","0.55","78","73","0.45","0.55"
"2011-02-08","-10","-5","-2","-9.9","-5","-2","-10","30","0.6","2","3","4.5","6","985.7","0.87","1.33","81","73","0.87","1.33"
"2011-02-09","-20","-14","-10","-18.5","-14","-10","-20","30","0.2","6","7","3.1","5","990.8","0.60","0.82","76","71","0.60","0.82"
"2011-02-10","-22","-11","-3","-19.7","-11","-3","-22","30","0.2","6","6","4.4","7","999.1","0.77","1.55","78","71","0.77","1.55"
"2011-02-11","-11","-8","-4","-13.4","-8","-4","-11","29","1.6","2","4","3.6","6","991.9","0.84","1.23","77","71","0.84","1.23"
"2011-02-12","-12","-8","-4","-14.7","-8","-4","-12","29","0.2","2","3","3.1","5","996.8","0.76","1.13","78","70","0.76","1.13"
"2011-02-13","-27","-20","-10","-25.5","-20","-10","-27","30","0","7","7","1.1","2","1005.7","0.36","0.58","75","65","0.36","0.58"
"2011-02-14","-29","-22","-12","-29.2","-22","-12","-29","30","0","6","7","1.5","3","1008.8","0.28","0.49","77","74","0.28","0.49"
"2011-02-15","-23","-15","-3","-23","-15","-3","-23","30","0.2","6","4","4.3","7","998.9","0.50","0.83","76","73","0.50","0.83"
"2011-02-16","-27","-17","-12","-26.6","-17","-12","-27","29","0","6","7","2.9","5","1004.4","0.44","0.68","76","69","0.44","0.68"
"2011-02-17","-20","-14","-9","-19","-14","-9","-20","30","11","2","4","3.5","5","990.1","0.42","0.50","81","79","0.42","0.50"
"2011-02-18","-27","-20","-13","-28.7","-20","-13","-27","37","1.8","3","7","3.1","6","995.9","0.35","0.45","73","68","0.35","0.45"
"2011-02-19","-36","-29","-19","-37.1","-29","-19","-36","37","0","4","7","1.8","2","1005.8","0.18","0.29","71","65","0.18","0.29"
"2011-02-20","-40","-33","-20","-40.4","-33","-20","-40","36","0","7","7","0.9","2","1011.8","0.15","0.25","71","67","0.15","0.25"
"2011-02-21","-38","-32","-14","-39.4","-32","-14","-38","36","0","7","7","0.8","1","1018.6","0.16","0.31","71","64","0.16","0.31"
"2011-02-22","-42","-31","-18","-42.7","-31","-18","-42","36","0","4","4","0.8","2","1021.4","0.17","0.38","73","70","0.17","0.38"
"2011-02-23","-27","-19","-10","-27.9","-19","-10","-27","36","0","3","3","1.3","3","1025.9","0.36","0.62","74","66","0.36","0.62"
"2011-02-24","-17","-14","-8","-20.2","-14","-8","-17","34","0","2","4","1.4","2","1033.5","0.51","0.72","74","68","0.51","0.72"
"2011-02-25","-19","-12","-4","-17.8","-12","-4","-19","35","0","3","6","1.3","2","1035.9","0.68","1.13","74","62","0.68","1.13"
"2011-02-26","-30","-22","-13","-26.7","-22","-13","-30","35","0","7","7","1.1","2","1034.7","0.33","0.65","76","64","0.33","0.65"
"2011-02-27","-31","-23","-10","-30","-23","-10","-31","35","0","7","7","1","2","1035.8","0.33","0.68","73","60","0.33","0.68"
"2011-02-28","-32","-23","-10","-32.2","-23","-10","-32","34","0","4","7","0.9","2","1034.4","0.34","0.80","74","63","0.34","0.80"
"2011-03-01","-30","-21","-4","-29.3","-21","-4","-30","34","0","4","7","0.5","1","1026.2","0.39","0.96","76","61","0.39","0.96"
"2011-03-02","-26","-18","-9","-26.1","-18","-9","-26","34","0","4","1","0.9","2","1013.2","0.45","0.98","75","62","0.45","0.98"
"2011-03-03","-32","-21","-8","-29.7","-21","-8","-32","34","0","1","7","1.4","2","1013.5","0.32","0.57","77","68","0.32","0.57"
"2011-03-04","-25","-20","-11","-27.1","-20","-11","-25","34","0","4","1","1.8","2","1012.3","0.32","0.69","78","66","0.32","0.69"
"2011-03-05","-32","-23","-5","-28.2","-23","-5","-32","34","0","4","7","1.5","3","1004.6","0.47","1.14","71","53","0.47","1.14"
"2011-03-06","-20","-14","-8","-22.4","-14","-8","-20","34","0","4","4","5.4","7","1001.2","0.69","1.02","69","64","0.69","1.02"
"2011-03-07","-8","-4","2","-5.8","-4","2","-8","35","0.5","3","3","4.3","7","1000.1","1.1","2.10","79","67","1.1","2.10"
"2011-03-08","-11","-4","3","-8","-4","3","-11","33","0","4","4","2.6","6","1009.1","1.6","3.20","74","55","1.6","3.20"
"2011-03-09","-11","-4","0","-12.6","-4","0","-11","34","0.5","3","4","6.1","8","995.2","1.3","1.99","70","60","1.3","1.99"
"2011-03-10","-17","-11","2","-17.9","-11","2","-17","33","0","7","7","2.9","4","1008.9","1.2","1.85","66","57","1.2","1.85"
"2011-03-11","-22","-11","1","-21.9","-11","1","-22","33","0","1","7","1.3","3","1020.2","0.79","1.66","75","62","0.79","1.66"
"2011-03-12","-16","-8","1","-15.4","-8","1","-16","33","0","7","7","0.9","1","1026.7","0.98","2.23","74","56","0.98","2.23"
"2011-03-13","-16","-8","4","-18.1","-8","4","-16","33","0","4","4","2.9","4","1019.6","1.3","1.98","65","56","1.3","1.98"
"2011-03-14","-5","-2","1","-8.1","-2","1","-5","33","0","2","3","1.3","2","1009.9","0.90","1.35","81","71","0.90","1.35"
"2011-03-15","-8","-3","0","-9.4","-3","0","-8","34","6.6","3","3","3.9","5","1000.8","1.1","1.99","77","62","1.1","1.99"
"2011-03-16","-16","-6","2","-12.7","-6","2","-16","34","2.4","4","4","2.9","5","1012.5","0.85","1.53","80","72","0.85","1.53"
"2011-03-17","-9","-3","2","-11.3","-3","2","-9","38","2.9","3","6","2","3","1018.3","1.1","2.01","76","61","1.1","2.01"
"2011-03-18","-23","-16","-4","-25.5","-16","-4","-23","38","0","6","4","0.4","1","1032.4","0.64","1.97","73","52","0.64","1.97"
"2011-03-19","-26","-16","-1","-25.9","-16","-1","-26","39","0","1","7","0.4","1","1035.3","0.96","2.85","68","40","0.96","2.85"
"2011-03-20","-23","-13","3","-23.2","-13","3","-23","38","0","7","7","0.1","1","1038.3","1","2.69","69","49","1","2.69"
"2011-03-21","-22","-12","3","-18.6","-12","3","-22","36","0","7","7","1.1","3","1034.3","1","2.35","73","56","1","2.35"
"2011-03-22","-18","-10","2","-17.8","-10","2","-18","36","0","7","7","2","4","1024.8","0.76","1.68","80","67","0.76","1.68"
"2011-03-23","-18","-9","2","-20","-9","2","-18","36","0","4","7","2.1","3","1010.5","1.2","2.76","71","51","1.2","2.76"
"2011-03-24","-11","-2","4","-12.2","-2","4","-11","36","0","2","4","2.4","5","996.9","1.6","2.43","73","65","1.6","2.43"
"2011-03-25","0","1","6","-3.5","1","6","0","31","3.8","2","2","5.1","7","979.9","1.5","1.75","77","73","1.5","1.75"
"2011-03-26","-6","-2","0","-8.9","-2","0","-6","29","0.3","6","6","5.3","7","985.7","1.6","1.96","70","62","1.6","1.96"
"2011-03-27","-11","-5","2","-14.5","-5","2","-11","29","2.3","6","6","5.4","8","997.2","1.3","2.30","70","55","1.3","2.30"
"2011-03-28","-12","-6","0","-16.3","-6","0","-12","29","0","7","7","3.8","6","1004.7","1.6","2.05","58","51","1.6","2.05"
"2011-03-29","-18","-10","0","-17.9","-10","0","-18","28","0","7","7","2","3","1021.3","1.2","2.31","66","51","1.2","2.31"
"2011-03-30","-20","-9","2","-19","-9","2","-20","28","0","4","7","2.1","5","1017.4","1.3","2.56","68","54","1.3","2.56"
"2011-03-31","-5","-2","2","-7.3","-2","2","-5","32","3.8","6","6","1.6","2","1005.8","1.2","2.22","77","61","1.2","2.22"
"2011-04-01","-12","-2","1","-13.2","-2","1","-12","31","0","2","4","2.3","5","1004.6","1.1","2.12","79","68","1.1","2.12"
"2011-04-02","-6","-3","5","-9.2","-3","5","-6","29","0","4","4","1.8","3","1005.7","0.96","1.56","79","71","0.96","1.56"
"2011-04-03","-15","-6","3","-17","-6","3","-15","29","0.5","1","1","1.4","2","1012.8","0.95","1.67","73","65","0.95","1.67"
"2011-04-04","-9","-3","2","-11.4","-3","2","-9","29","0","4","4","3.3","5","1009.5","1.1","1.29","78","75","1.1","1.29"
"2011-04-05","-2","2","7","-1","2","7","-2","28","0","6","6","1.9","2","1011","1.8","4.3","79","57","1.8","4.3"
"2011-04-06","-5","-1","3","-5.4","-1","3","-5","19","0","4","7","2.1","3","1012.8","2.2","4.53","71","50","2.2","4.53"
"2011-04-07","-4","0","6","-2.7","0","6","-4","12","0","5","7","1.8","2","1008.9","1.6","3.01","79","65","1.6","3.01"
"2011-04-08","-5","-1","3","-5.9","-1","3","-5","9","0","4","7","1.8","4","1003.6","1.6","2.72","78","72","1.6","2.72"
"2011-04-09","1","4","10","-0.8","4","10","1","","0","6","7","2","3","993.8","1.8","2.96","79","69","1.8","2.96"
"2011-04-10","-1","5","19","-3.6","5","19","-1","","0","0","0","1.3","3","996.2","1.9","4.4","80","65","1.9","4.4"
"2011-04-11","2","10","22","1.1","10","22","2","","0","6","6","2.9","4","996","3.3","7.4","76","60","3.3","7.4"
"2011-04-12","3","8","15","1.4","8","15","3","","6.2","2","5","1.6","3","1000.1","1.2","2.3","88","82","1.2","2.3"
"2011-04-13","2","7","18","1.9","7","18","2","","0","4","4","3","5","1004.2","0.98","2.8","91","79","0.98","2.8"
"2011-04-14","5","9","20","5.2","9","20","5","","0.3","0","0","4","6","1000.8","1.2","3.7","92","78","1.2","3.7"
"2011-04-15","8","10","20","2.4","10","20","8","","0.4","2","6","2.9","5","997.1","3.5","6","74","55","3.5","6"
"2011-04-16","2","9","22","-2.3","9","22","2","","0","6","6","3.5","5","1003.9","4.9","10","61","34","4.9","10"
"2011-04-17","-1","9","24","-0.6","9","24","-1","","0","4","7","1.6","3","1010.2","5.6","11.2","61","39","5.6","11.2"
"2011-04-18","6","13","26","-2.2","13","26","6","","0","4","4","3.6","7","1004","9.6","18.2","49","22","9.6","18.2"
"2011-04-19","8","11","20","0.2","11","20","8","","0.3","2","2","4.1","6","991.9","5.8","10.2","59","42","5.8","10.2"
"2011-04-20","6","8","18","0.4","8","18","6","","7.7","2","6","3.1","5","996.6","3.3","5.2","69","55","3.3","5.2"
"2011-04-21","5","7","10","2.6","7","10","5","","8.4","2","2","1.6","3","1000.7","1.3","2.1","87","79","1.3","2.1"
"2011-04-22","6","9","13","2.7","9","13","6","","19.3","2","2","2.6","5","991.4","1.4","2.6","87","77","1.4","2.6"
"2011-04-23","1","5","13","-6","5","13","1","","4.3","2","3","6.4","9","1000.7","3.2","6.5","64","39","3.2","6.5"
"2011-04-24","0","8","19","-2","8","19","0","","0.4","3","6","2.5","4","1003.8","4","7.9","65","41","4","7.9"
"2011-04-25","5","10","20","-4.7","10","20","5","","0.9","3","3","2.8","6","997","4.2","10.8","68","29","4.2","10.8"
"2011-04-26","1","8","21","-5.3","8","21","1","","0","6","4","2","3","1001","4.2","7.8","60","35","4.2","7.8"
"2011-04-27","0","6","14","-7.4","6","14","0","","0","2","3","3","5","1006.1","4.1","6.09","54","37","4.1","6.09"
"2011-04-28","2","12","28","-3.3","12","28","2","","0","6","6","2.8","5","1007.2","7.9","15.3","51","30","7.9","15.3"
"2011-04-29","6","16","32","0.1","16","32","6","","0","6","6","1.5","2","1004","9.1","16.7","52","29","9.1","16.7"
"2011-04-30","8","17","34","-3.4","17","34","8","","0","3","4","2.1","4","1002.8","10.7","17.6","42","22","10.7","17.6"
"2011-05-01","0","14","35","-6.3","14","35","0","","0","4","1","1.5","3","1012.9","9.2","17.3","45","19","9.2","17.3"
"2011-05-02","8","14","25","2.5","14","25","8","","0","4","4","2.1","4","1010.5","8.3","13.5","52","37","8.3","13.5"
"2011-05-03","10","11","14","-0.8","11","14","10","","0","2","2","3.4","5","1011.2","5.6","8.6","59","40","5.6","8.6"
"2011-05-04","6","16","32","-5.8","16","32","6","","0","3","3","4.5","7","1007.6","9","14.8","40","22","9","14.8"
"2011-05-05","1","15","34","-6.6","15","34","1","","0","4","4","3.9","5","1009","7.7","11.5","40","25","7.7","11.5"
"2011-05-06","1","14","35","-5.2","14","35","1","","0","6","6","3.3","5","1013.9","7.4","12.9","47","26","7.4","12.9"
"2011-05-07","1","16","37","-4.6","16","37","1","","0","4","7","1.6","4","1014.8","9.1","17.8","48","22","9.1","17.8"
"2011-05-08","8","16","31","-10.4","16","31","8","","0","6","1","3.3","6","1013.9","7.7","12.4","42","18","7.7","12.4"
"2011-05-09","-3","15","33","-8.9","15","33","-3","","0","1","7","0.5","2","1017.2","8.6","17.1","43","15","8.6","17.1"
"2011-05-10","4","18","37","-7.9","18","37","4","","0","4","1","2.5","5","1009.3","13.5","22.2","29","16","13.5","22.2"
"2011-05-11","10","21","39","-7.8","21","39","10","","0","6","4","2.5","5","998.8","16.3","27.4","28","11","16.3","27.4"
"2011-05-12","6","11","20","-8.1","11","20","6","","7.8","6","4","2.3","4","994.8","4.6","18.3","70","15","4.6","18.3"
"2011-05-13","1","9","23","-11.9","9","23","1","","0","3","7","1.9","4","998.3","5","10.7","59","19","5","10.7"
"2011-05-14","2","13","32","-4.7","13","32","2","","0","4","4","1.5","3","998.3","6.1","11.6","52","32","6.1","11.6"
"2011-05-15","2","15","33","-9.7","15","33","2","","0","6","1","2.3","3","1002.6","7.6","11.9","39","20","7.6","11.9"
"2011-05-16","0","15","38","-10.6","15","38","0","","0","6","1","1.3","3","1011.3","8.1","14.7","43","16","8.1","14.7"
"2011-05-17","1","18","41","-6.9","18","41","1","","0","7","7","1.5","2","1013.5","9.6","17.5","43","19","9.6","17.5"
"2011-05-18","3","20","46","-6.9","20","46","3","","0","7","7","1","2","1012.4","12.4","22","36","15","12.4","22"
"2011-05-19","7","21","42","-9.3","21","42","7","","0","7","7","2.3","3","1007.9","16","23.8","23","12","16","23.8"
"2011-05-20","10","14","25","-6.9","14","25","10","","9.3","6","4","2.4","3","997.1","8.2","13.5","49","21","8.2","13.5"
"2011-05-21","9","15","27","3","15","27","9","","0","3","5","3.4","5","997.6","6.7","15.5","65","33","6.7","15.5"
"2011-05-22","7","16","30","1.9","16","30","7","","0.3","6","6","2.5","4","1000.2","7.5","15","58","32","7.5","15"
"2011-05-23","5","18","47","1","18","47","5","","0","4","4","1.4","2","1003.1","9.5","18.4","55","26","9.5","18.4"
"2011-05-24","12","16","33","5.6","16","33","12","","8.4","2","3","2.6","3","994.7","4.4","9.8","76","48","4.4","9.8"
"2011-05-25","7","10","15","5.2","10","15","7","","45.7","2","2","6.5","8","992.6","1.1","2.2","91","82","1.1","2.2"
"2011-05-26","5","13","22","-3.4","13","22","5","","3","3","3","5","8","995.8","7.9","15.2","52","24","7.9","15.2"
"2011-05-27","5","12","28","2.4","12","28","5","","2.7","4","4","1.6","6","997.5","3.7","11.3","74","42","3.7","11.3"
"2011-05-28","6","16","29","3.1","16","29","6","","0","4","4","1.4","3","997.6","4.3","12.1","77","47","4.3","12.1"
"2011-05-29","11","18","30","7.3","18","30","11","","0","2","5","0.6","2","999.3","4.5","15.6","79","40","4.5","15.6"
"2011-05-30","10","17","29","9","17","29","10","","0","5","6","4.4","8","998","6.6","12.6","68","49","6.6","12.6"
"2011-05-31","12","15","19","11.5","15","19","12","","18.7","2","2","4.9","7","992.2","2.5","4","85","78","2.5","4"
"2011-06-01","12","16","25","9.9","16","25","12","","1.8","2","6","3.5","8","984","3.3","6.2","81","67","3.3","6.2"
"2011-06-02","10","13","19","9","13","19","10","","5.1","2","5","5.8","10","986","2.5","6.1","85","68","2.5","6.1"
"2011-06-03","10","16","28","10.7","16","28","10","","2.7","5","5","2.1","3","988.8","3.4","7.6","83","67","3.4","7.6"
"2011-06-04","11","18","28","10.9","18","28","11","","19.6","6","4","3.5","7","986.9","4.1","14.1","81","50","4.1","14.1"
"2011-06-05","12","21","35","11","21","35","12","","0","6","6","1.1","2","989","5.9","15.5","76","47","5.9","15.5"
"2011-06-06","17","23","36","14.2","23","36","17","","0.3","3","5","1.1","3","994.6","8.8","19.1","70","47","8.8","19.1"
"2011-06-07","17","22","36","13.5","22","36","17","","0.8","5","5","1","2","995.6","7.2","18","74","47","7.2","18"
"2011-06-08","15","23","35","12.7","23","35","15","","0","3","3","1.9","4","996.5","8.4","16.4","68","50","8.4","16.4"
"2011-06-09","15","26","44","12.3","26","44","15","","0","6","7","1","2","996.6","9.5","20.5","69","41","9.5","20.5"
"2011-06-10","18","24","37","12.1","24","37","18","","0","2","5","1.5","5","993.6","6.1","11.9","76","60","6.1","11.9"
"2011-06-11","16","28","48","10.9","28","48","16","","0","3","6","2","3","989","11.5","23.4","63","36","11.5","23.4"
"2011-06-12","17","23","36","11.4","23","36","17","","3.3","5","6","3.1","5","983.2","9.5","16.6","63","49","9.5","16.6"
"2011-06-13","14","17","28","1.9","17","28","14","","0","6","6","4","5","984.5","6.4","9.8","62","42","6.4","9.8"
"2011-06-14","6","18","36","2.2","18","36","6","","0","4","4","3","5","995.7","7.2","13.5","58","35","7.2","13.5"
"2011-06-15","8","20","36","0.8","20","36","8","","0","6","6","3.3","7","1000.4","8.2","15.9","56","30","8.2","15.9"
"2011-06-16","9","22","43","4.8","22","43","9","","0","4","1","2","3","999.9","10.6","21.4","55","33","10.6","21.4"
"2011-06-17","16","22","37","11.4","22","37","16","","0.7","2","5","2.1","3","995.9","8","13.3","68","54","8","13.3"
"2011-06-18","16","23","38","14.6","23","38","16","","2.9","2","6","1.5","3","991.6","5.5","11.8","80","64","5.5","11.8"
"2011-06-19","14","20","41","12.9","20","41","14","","6.6","2","5","1.6","3","982.6","3.4","11.9","85","55","3.4","11.9"
"2011-06-20","14","15","17","11.1","15","17","14","","12.1","2","2","3.4","5","980.8","1.3","1.8","92","89","1.3","1.8"
"2011-06-21","12","15","21","10.7","15","21","12","","6.6","2","2","3.5","5","983.1","1.6","3","91","83","1.6","3"
"2011-06-22","14","18","27","12.7","18","27","14","","2.4","2","2","3.4","4","989.3","2.4","7.6","89","67","2.4","7.6"
"2011-06-23","13","21","31","8.7","21","31","13","","0","3","5","2.5","4","994","7.7","16.1","69","42","7.7","16.1"
"2011-06-24","13","23","39","12.9","23","39","13","","0","6","4","2","3","998.7","6.4","12.9","74","54","6.4","12.9"
"2011-06-25","11","21","32","14.3","21","32","11","","8.4","2","3","5.5","9","995.2","7.3","14.8","73","56","7.3","14.8"
"2011-06-26","14","17","20","12.1","17","20","14","","11.9","2","2","5.6","8","995.2","3","10.4","86","57","3","10.4"
"2011-06-27","13","20","31","12.3","20","31","13","","0","6","6","2.9","6","998.7","7.2","14.3","72","51","7.2","14.3"
"2011-06-28","14","23","34","12.3","23","34","14","","0","6","6","1.9","3","1001.4","10","17.1","65","47","10","17.1"
"2011-06-29","16","27","42","13.6","27","42","16","","0","4","1","1.5","3","1002.1","11.3","22.2","67","42","11.3","22.2"
"2011-06-30","17","27","43","15.4","27","43","17","","0","4","4","2.3","6","997.1","6.6","15.5","78","57","6.6","15.5"
"2011-07-01","11","18","36","8","18","36","11","","1.7","3","6","4.3","7","996.2","6.6","10","67","55","6.6","10"
"2011-07-02","10","15","21","9.4","15","21","10","","2.8","6","6","2","4","996","2.6","7.8","85","68","2.6","7.8"
"2011-07-03","10","20","35","6.4","20","35","10","","0","6","7","1.8","3","1002.5","6.1","12.1","70","45","6.1","12.1"
"2011-07-04","12","25","41","7.9","25","41","12","","0","6","7","3.5","5","1002.9","10.4","18.1","62","53","10.4","18.1"
"2011-07-05","18","29","44","14.6","29","44","18","","0","6","6","3.1","4","1000.3","8.5","11.5","69","64","8.5","11.5"
"2011-07-06","15","27","42","7.1","27","42","15","","0","6","6","3.6","5","1007.5","8.7","16.5","63","39","8.7","16.5"
"2011-07-07","12","25","42","8.3","25","42","12","","0","1","7","1.8","3","1012.2","8.6","16","64","42","8.6","16"
"2011-07-08","13","25","40","7.7","25","40","13","","0","4","4","2","5","1007.7","10.4","20.3","60","43","10.4","20.3"
"2011-07-09","18","27","43","9.5","27","43","18","","0.6","6","6","2.3","3","1004.8","7.5","15","70","44","7.5","15"
"2011-07-10","15","19","42","12.3","19","42","15","","7.3","2","2","4.9","7","994.1","4.3","6.7","79","70","4.3","6.7"
"2011-07-11","14","16","19","12.4","16","19","14","","8.2","2","2","4.5","6","987.9","1.3","2.7","92","85","1.3","2.7"
"2011-07-12","12","17","27","6.4","17","27","12","","2.2","2","2","4.1","5","990.9","4.5","9.7","75","50","4.5","9.7"
"2011-07-13","11","16","22","8.8","16","22","11","","0","2","5","2.5","5","991.6","3.8","7.8","79","62","3.8","7.8"
"2011-07-14","12","17","22","9.9","17","22","12","","6.4","2","5","2.3","4","995.3","3","7.7","82","61","3","7.7"
"2011-07-15","12","20","33","8.3","20","33","12","","2.4","3","5","2","3","996.5","7.6","15.8","69","45","7.6","15.8"
"2011-07-16","13","25","47","12","25","47","13","","0.3","6","6","1.4","3","996.2","7.4","16.7","72","47","7.4","16.7"
"2011-07-17","12","27","45","11.7","27","45","12","","0","5","5","1.4","3","999.7","8.3","17.5","72","45","8.3","17.5"
"2011-07-18","12","27","46","10.4","27","46","12","","0","7","7","1.1","2","1001.4","9.8","19","65","41","9.8","19"
"2011-07-19","15","25","48","12","25","48","15","","1.8","4","4","1.1","2","999.6","6.1","17.1","78","53","6.1","17.1"
"2011-07-20","18","22","33","11.6","22","33","18","","4.2","6","6","3.9","5","999.3","4.9","12","80","56","4.9","12"
"2011-07-21","12","20","35","6.7","20","35","12","","0","6","6","4.6","7","1004.8","7.4","12.2","63","47","7.4","12.2"
"2011-07-22","12","21","36","6.2","21","36","12","","0","5","5","3.3","5","1006.3","6.9","13.2","66","45","6.9","13.2"
"2011-07-23","11","26","44","7.8","26","44","11","","0","4","7","1.4","3","1003.1","8","16","68","46","8","16"
"2011-07-24","16","28","48","13.2","28","48","16","","0","4","1","0.8","2","1000.4","7.5","21.7","77","44","7.5","21.7"
"2011-07-25","18","28","44","17.9","28","44","18","","0","5","6","1.5","4","1001.3","7.3","15","78","58","7.3","15"
